,text,clean_text,is_spam
207,"Aight yo, dats straight dogg",ก็ได้ โย่ โคตรซื่อตรงเลย,0
208,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,คุณกรุณาให้การเชื่อมต่อกับเราวันนี้ก่อน & lt; ยกเลิกและได้รับ; หรือคืนเงินบิล,0
209,Both :) i shoot big loads so get ready!,ทั้งสอง :) ฉันยิงโหลดใหญ่ดังนั้นเตรียมตัวให้พร้อม!,0
210,"What's up bruv, hope you had a great break. Do have a rewarding semester.",มีอะไร bruv หวังว่าคุณจะมีวันหยุดที่ดี มีภาคการศึกษาที่คุ้มค่า,0
211,Home so we can always chat,บ้านดังนั้นพวกเราสามารถคุยกันได้เสมอ,0
212,K:)k:)good:)study well.,เค เค ดีจัง เรียนดี,0
213,Yup... How Ì_ noe leh...,ใช่...เธอรู้ได้ยังไง...,0
214,Sounds great! Are you home now?,ฟังดูดีเลยค่ะ ตอนนี้อยู่บ้านหรือเปล่าคะ,0
215,Finally the match heading towards draw as your prediction.,สุดท้ายการแข่งขันที่มุ่งหน้าไปสู่การวาดเป็นการคาดการณ์ของคุณ,0
216,Tired. I haven't slept well the past few nights.,เหนื่อย ฉันนอนไม่ค่อยหลับ,0
217,Easy ah?sen got selected means its good..,ง่ายเหรอ เซ็นได้รับเลือกหมายความว่ามันดี...,0
218,I have to take exam with march 3,ฉันต้องสอบกับวันที่ 3 มีนาคม,0
219,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,อือ เธอควรนะ ฉันคิดว่าเธอสามารถใช้จีทีเอ็มของเธอตอนนี้เพื่อลงทะเบียน ไม่แน่ใจแต่หากมีฉันช่วยบอกให้ฉันรู้ทีนะ แต่เมื่อเธอมั่นใจว่าเธอพร้อมนะ,0
220,Ok no prob. Take ur time.,โอเค ไม่มีปัญหา ตามสบายเลย,0
221,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,มีโอเอสเรียกว่าโอเอส ซึ่งจะทํางานโดยไม่ต้องติดตั้งในฮาร์ดดิสก์...คุณสามารถใช้โอเอสเพื่อคัดลอกไฟล์สําคัญในระบบและให้มันกับร้านซ่อม...,0
222,"Sorry, I'll call later",ขอโทษนะ ฉันจะโทรหาทีหลังนะ,0
223,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,เธอบอกว่า...แน่นอนว่าไม่มีอะไรเกิดขึ้น ไม่ได้บอกว่าโรแมนติกแค่นิดหน่อยนะ ฉันคิดว่าทิวทัศน์ตอนกลางคืนไม่ค่อยดีเท่าไหร่,0
225,Would really appreciate if you call me. Just need someone to talk to.,จะขอบคุณมากถ้าคุณโทรหาฉัน แค่ต้องการคนคุยด้วย,0
227,Hey company elama po mudyadhu.,เฮ้ บริษัท โปโปโป โปโปโป,0
228,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",ชีวิตนั้นเข้มงวดกว่าครู...เพราะครูสอนบทเรียนและแอมป์; จากนั้นดําเนินการสอบ แต่ชีวิตก่อนดําเนินการสอบและแอมป์ จากนั้นก็สอนบทเรียน อรุณสวัสดิ์,0
229,Dear good morning now only i am up,ที่รัก อรุณสวัสดิ์ ตอนนี้มีแค่ฉันเท่านั้นที่ตื่น,0
230,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,ลงไปที่ห้องฉุกเฉินและเดินข้ามถนนตัด ด้านขวา & lt; # & gt; ถนนและเลี้ยวขวาครั้งแรก,0
231,Dear we are going to our rubber place,ที่รัก พวกเราจะไปสถานที่ยางของพวกเรา,0
232,"Sorry battery died, yeah I'm here",ขอโทษที่แบตหมดนะ ใช่ ฉันอยู่ที่นี่ละ,0
233,Yes:)here tv is always available in work place..,ใช่:) ที่นี่มีทีวีในที่ทํางานเสมอ...,0
235,I have printed it oh. So  &lt;#&gt;  come upstairs,ฉันได้พิมพ์มัน โอ้ ดังนั้น & lt; # & gt; ขึ้นมาข้างบน,0
236,Or ill be a little closer like at the bus stop on the same street,หรือฉันจะอยู่ใกล้ ๆ เช่นที่ป้ายรถเมล์บนถนนเดียวกัน,0
237,Where are you?when wil you reach here?,เธออยู่ที่ไหน เธอจะถึงที่นี่เมื่อไหร่เหรอ,0
238,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",ทฤษฎีใหม่: การทะเลาะชนะสถานการณ์ แต่สูญเสียบุคคล ดังนั้นอย่าเถียงกับเพื่อนของเธอแค่.......เตะพวกเขาและแอมป์ บอกว่า ฉันพูดถูกเสมอละ,0
240,Tomarrow final hearing on my laptop case so i cant.,การได้ยินครั้งสุดท้ายในเคสแล็ปท็อปของฉันดังนั้นฉันไม่สามารถ,0
241,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,MTEL โทรมาหาฉัน AVENT เสร็จเรียบร้อย,0
242,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",โอเค ไม่ ไม่ แค่ส่องแสง มันหมายถึงการเซ็น แต่ฟังดูดีกว่า,0
243,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",แม้ว่าฉันจะบอกเธอว่าฉันสนใจนาฬิกาหน้าของฉันตอนนี้ แต่ฉันชอบนาฬิกาที่เธอให้เพราะมันมาจากเธอ ขอบคุณสําหรับทุกอย่างที่เธอทําวันนี้ ฉันสัมผัส...,0
244,U don't remember that old commercial?,เธอจําโฆษณาเก่านั่นไม่ได้เหรอ,0
245,Too late. I said i have the website. I didn't i have or dont have the slippers,สายไปแล้ว ฉันบอกว่าฉันมีเว็บไซต์ ฉันไม่ได้มีหรือไม่มีรองเท้าแตะ,0
246,I asked you to call him now ok,ฉันขอให้คุณโทรหาเขาตอนนี้ โอเคนะ,0
247,Kallis wont bat in 2nd innings.,คัลลี่สจะไม่เล่นในโอกาสที่สองละ,0
248,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,มันไม่ทํางานอีกแล้ว โอ้ โอเค ฝันดีนะงั้น ฉันจะแก้ไขและทํามันให้พร้อมตอนเธอตื่น เธอโคตรพลาด ฝันดีนะ,0
250,Ranjith cal drpd Deeraj and deepak 5min hold,รอสาย 5 นาที,0
251,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",เมื่อที่รักของเธอโกรธเธอ อย่าเอาจริงเอาจังนะ..เพราะการโกรธเป็นเรื่องเด็กที่สุดและวิธีที่จริงในการแสดงความรักที่ลึกซึ้ง แคร์และรัก...ขอให้มีวันที่ดีนะ,0
252,What you doing?how are you?,ทําอะไรอยู่ สบายดีไหม,0
253,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",Ups ซึ่ง 3 วันเช่นกัน และ บริษัท ขนส่งที่ใช้เวลา 3 วัน วิธีอื่นคือ ups ซึ่งใช้เวลาหนึ่งสัปดาห์ แต่เมื่อได้รับความล่าช้าคุณอาจต้องติดสินบนเพื่อรับของของคุณ,0
254,"I'm back, lemme know when you're ready",ฉันกลับมาแล้ว บอกให้ฉันรู้เมื่อเธอพร้อมนะ,0
255,Don't necessarily expect it to be done before you get back though because I'm just now headin out,ไม่จําเป็นต้องคาดหวังว่ามันจะเสร็จก่อนที่คุณจะกลับเพราะฉันเพิ่งออกตอนนี้,0
256,Mmm so yummy babe ... Nice jolt to the suzy,อืม อร่อยมากที่รัก... เขย่าได้ดีอ่ะ,0
257,Where are you lover ? I need you ...,คุณอยู่ที่ไหนคนรัก ฉันต้องการคุณ ...,0
259,IÛ÷m parked next to a MINI!!!! When are you coming in today do you think?,ฉันจอดถัดจากMINI เธอคิดไหมว่าวันนี้เธอจะมาเมื่อไหร่,0
260,Yup,ใช่,0
261,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,ยังไงก็ตามฉันจะไปชอปปิ้งด้วยตัวเองละตอนนี้ เพราะน้องสาวของฉันยังไม่เสร็จ อย่ารบกวนเธอละ,0
262,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,เบอร์ของฉัน อยู่ที่แอลทีเอ็ม โทรหาฉันถ้าเธออยู่แถวๆ เอช,0
264,Why you Dint come with us.,ทําไมแกต้องมากับเราด้วย,0
265,Same. Wana plan a trip sometme then,เหมือนกัน อยากจะวางแผนไปเที่ยวกันไหมงั้น,0
266,"Not sure yet, still trying to get a hold of him",ยังไม่แน่ใจ ยังพยายามติดต่อเขาอยู่,0
268,The evo. I just had to download flash. Jealous?,ยาแก้ปวด ฉันพึ่งดาวโหลดแฟลช อิจฉาเหรอ,0
270,"Come to mu, we're sorting out our narcotics situation",มาที่เอ็มยู พวกเรากําลังคัดแยกสถานการณ์ยาเสพติดของพวกเรา,0
271,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.","กลางคืนได้สิ้นสุดลงสําหรับวันอื่น, เช้าได้มาในวิธีพิเศษ. ขอให้คุณยิ้มเหมือนแสงแดดและออกจากความกังวลของคุณที่อ่าวสีฟ้า.",0
273,"Usf I guess, might as well take 1 car",คิดว่างั้นนะ อาจจะใช้รถ 1 คันก็ได้,0
274,No objection. My bf not coming.,ไม่คัดค้าน แฟนของฉันไม่มา,0
275,Thanx...,ขอบคุณนะ...,0
276,Tell rob to mack his gf in the theater,บอกร็อบเพื่อจัดงานแฟนสาวของเขาในโรงหนัง,0
277,"Awesome, I'll see you in a bit",เยี่ยมเลย เดี๋ยวเจอกันนะ,0
278,Just sent it. So what type of food do you like?,เพิ่งส่งไปค่ะ ชอบอาหารแบบไหนคะ,0
279,All done? All handed in? Celebrations in full swing yet?,เสร็จหรือยัง ครบมือแล้วหรือยัง เบรชั่นในสวิงเต็มหรือยัง,0
280,You got called a tool?,คุณได้รับการเรียกว่าเครื่องมือ?,0
281,\Wen u miss someone,เมื่อเธอคิดถึงใครสักคน,0
282,Ok. I asked for money how far,โอเค ฉันขอเงินมาไกลแค่ไหนแล้ว,0
283,Okie...,ได้...,0
284,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",ใช่ ฉันคิดว่าคนปกติของฉันยังสลบจากเมื่อคืน ถ้าคุณติดต่อใครบอกฉันและฉันจะโยนลง,0
285,"K, I might come by tonight then if my class lets out early",เค ฉันอาจจะไปคืนนี้นะงั้นถ้าชั้นเรียนของฉันออกเร็ว,0
286,Ok..,โอเค...,0
287,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,ไงที่รัก ฉันกําลังยั่วยวนเพื่อนสาวของฉัน เธอทําอะไรอยู่เหรอ โทรหาฉันที่บ้านและชั่วโมงถ้านั่นไม่เป็นไรหรือมือถือฉันในโทรศัพท์ตอนนี้รักเจนนี่นะ,0
288,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",ชีวิตของฉันมีความหมายกับฉันมากไม่ใช่เพราะฉันรักชีวิตของฉัน แต่เพราะฉันรักผู้คนในชีวิตของฉันโลกเรียกพวกเขาว่าเพื่อนฉันเรียกพวกเขาว่าโลกของฉัน :-) .. Ge :-),0
289,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",ที่รัก ต้องส่งเมล์เอสเคอาร์ในถนน ต้องอัปเดตเธอให้รู้นะ ฉันกําลังหาเธออยู่,0
290,Hey you told your name to gautham ah?,เฮ้ เธอบอกชื่อของเธอให้กัวทัมเหรอ,0
291,Haf u found him? I feel so stupid da v cam was working.,เธอหาเขาเจอไหม ฉันรู้สึกโง่มากที่กล้อง V ทํางาน,0
292,Oops. 4 got that bit.,อุปส์ 4 ได้รับบิตที่,0
293,Are you this much buzy,คุณนี่โง่จังนะ,0
294,I accidentally deleted the message. Resend please.,ฉันเผลอลบข้อความไปละ ช่วยส่งใหม่ทีนะ,0
296,Unless it's a situation where YOU GO GURL would be more appropriate,นอกเสียจากว่าสถานการณ์ที่คุณไปตอนนี้ จะเหมาะสมกว่า,0
297,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,ทําร้ายฉัน...แซวฉัน...ทําให้ฉันร้องไห้...แต่ในตอนท้ายของชีวิตของฉันเมื่อฉันตายช่วยเก็บดอกกุหลาบบนหลุมฝังศพของฉันและบอกว่าโง่ฉันคิดถึงเธอ...ขอให้มีวันที่ดี,0
298,I cant pick the phone right now. Pls send a message,ฉันไม่สามารถรับโทรศัพท์ได้ในขณะนี้ ช่วยส่งข้อความทีนะ,0
299,Need a coffee run tomo?Can't believe it's that time of week already,อยากทํากาแฟพรุ่งนี้ไหม ไม่อยากจะเชื่อเลยว่าเวลานั้นของสัปดาห์แล้ว,0
300,"Awesome, I remember the last time we got somebody high for the first time with diesel :V",ยอดไปเลย ฉันจําได้ว่าครั้งสุดท้ายที่มีคนเมายาเป็นครั้งแรกด้วยดีเซล วี,0
301,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",อึที่เป็นที่น่าตกใจและน่ากลัวจริงๆไม่สามารถจินตนาการได้เป็นครั้งที่สอง เดฟ ขึ้นสําหรับกลางคืนออก คุณคิดว่ามีบางที่ที่ฉันสามารถผิดพลาดสําหรับกลางคืนบันทึกบนรถแท็กซี่?,0
302,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,อ้อ แล้วก็มีอาหารในตู้เย็นด้วย อยากออกไปกินข้าวกันมั้ยคืนนี้,0
303,He is a womdarfull actor,เขาเป็นนักแสดงที่ฉลาดมาก,0
305,Yup... From what i remb... I think should be can book... ,ใช่...จากสิ่งที่ฉันต้องการ...ฉันคิดว่าน่าจะจองได้นะ...,0
306,Jos ask if u wana meet up?,โจถามว่าเธออยากจะเจอกันไหม,0
307,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,(หัวเราะ) ใช่ มิตรภาพของพวกเรานั้นแขวนอยู่บนเส้นด้ายเพราะเธอจะไม่ซื้อของ,0
309,Where are the garage keys? They aren't on the bookshelf,กุญแจโรงรถอยู่ไหน ไม่ได้อยู่บนชั้นวางหนังสือ,0
310,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,วันนี้คือวันยอมรับ...เธอยอมรับฉันเป็น? น้องรัก น้องรัก,0
312,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,เขาบอกว่าเขาจะโทรหาฉันเมื่อเพื่อนของเขาได้รับเงิน แต่ว่าเขาซื้อแน่นอนก่อนสิ้นสัปดาห์,0
313,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",ไง วิธีที่ฉันอยู่กับเธอวันนี้ เป็นวิธีที่ปกติและนี่คือฉันจริง เธอคือคนพิเศษ และฉันหวังว่าฉันจะรู้จักเธอในส่วนที่เหลือของการสอบ หวังว่าเธอจะพบว่าอะไรหายไปนะ,0
314,You made my day. Do have a great day too.,คุณทําให้วันของฉัน ขอให้มีวันที่ดีเช่นกัน,0
315,K.k:)advance happy pongal.,เคเค ล่วงหน้ามีความสุขนะพงกอล,0
316,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",ฮืม...เดาว่าพวกเราน่าจะไปเล่น kb และพาวเวอร์โยคะได้นะ...(หัวเราะ) ไม่รู้ว่าพวกเราจะทนไหวหรือเปล่านะ...คิดว่ามี lo เหมือนกัน ลืมไปแล้ว...,0
317,"Not really dude, have no friends i'm afraid :(",ไม่เชิงนะเพื่อน ไม่มีเพื่อนฉันกลัว :(,0
319,"Coffee cake, i guess...",เค้กกาแฟ ฉันคิดว่า...,0
320,"Merry Christmas to you too babe, i love ya *kisses*",สุขสันต์วันคริสต์มาสแก่เธอเช่นกันนะที่รัก ฉันรักเธอ * จูบ*,0
321,Hey... Why dont we just go watch x men and have lunch... Haha ,เฮ้...ทําไมพวกเราไม่ไปดูเอ็กซ์ผู้ชายและกินข้าวกลางวันละ...(หัวเราะ),0
322,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,แค่เธอบอกคนอื่นว่าฉันกําลังจะกินนิดหน่อยเพราะรถเมล์ต้องผ่านเพราะพวกเขาอิ่มและฉันยังรอ 1 พีท,0
323,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,นั่นน่าจะดีนะ พวกเราจะอยู่ที่สมาคม สามารถเจอกันที่ถนนบริสตอลหรือที่ไหนสักที่ - จะได้รับการติดต่อในช่วงสุดสัปดาห์ แผนของเราขึ้นเครื่อง ขอให้มีสัปดาห์ที่ดีนะ,0
324,No problem. How are you doing?,ไม่มีปัญหาค่ะ สบายดีมั้ยคะ,0
325,No calls..messages..missed calls,ไม่มีการโทร...ข้อความ...สายที่ไม่ได้รับ,0
326,Hi da:)how is the todays class?,สวัสดี เรียนวันนี้เป็นยังไงบ้างอ่ะ,0
327,"I'd say that's a good sign but, well, you know my track record at reading women",ผมว่านั่นเป็นสัญญาณที่ดี แต่คุณรู้ประวัติของผม ที่อ่านเรื่องผู้หญิง,0
328,"Cool, text me when you're parked",เจ๋ง ส่งข้อความหาฉันเมื่อเธอจอดรถนะ,0
329,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,ฉันกําลังอ่านข้อความที่ฉันเพิ่งส่งให้เธอ มันหมายถึงเรื่องตลก ดังนั้นอ่านในแสงนั้นสิ,0
330,K.k:)apo k.good movie.,เคเค อาโปร เค หนัง,0
331,Maybe i could get book out tomo then return it immediately ..? Or something.,บางทีฉันอาจได้รับหนังสือออกมาพรุ่งนี้แล้วส่งคืนทันที .. ? หรือบางสิ่งบางอย่าง,0
333,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.,โอกาสใด ๆ ที่คุณอาจจะมีกับฉันระเหยทันทีที่คุณละเมิดความเป็นส่วนตัวของฉันโดยขโมยหมายเลขโทรศัพท์ของฉันจากเอกสารของนายจ้างของคุณ ไม่เย็นเลย โปรดอย่าติดต่อฉันอีกครั้งหรือฉันจะแจ้งให้คุณหัวหน้าของคุณ,0
335,"Ta-Daaaaa! I am home babe, are you still up ?",ที่รัก ฉันอยู่ที่บ้านนะ เธอยังตื่นอยู่ไหม,0
336,Cool. So how come you havent been wined and dined before?,เจ๋ง งั้นทําไมเธอไม่ดื่มไวน์และทานอาหารมาก่อนละ,0
337,Just sleeping..and surfing,แค่นอน...และโต้คลื่น,0
338,"Sorry, I'll call later",ขอโทษนะ ฉันจะโทรหาทีหลังนะ,0
339,U calling me right? Call my hand phone...,เธอโทรหาฉันใช่ไหม โทรเข้ามือถือฉัน...,0
340,Ok that's great thanx a lot.,โอเค เยี่ยมเลย ขอบคุณมากนะ,0
341,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,ฉันรับมันโพสต์ได้ละตอนนี้ เธอต้องมีข้อความเป็นพันละตอนนี้ สุขสันต์การอ่านนะ อันของฉันจากคาโรไลน์ สวัสดีแคโรไลในตอนท้ายเป็นที่ชื่นชอบละ อวยพรเขานะ,0
342,Where u been hiding stranger?,เธอซ่อนคนแปลกหน้าไว้ที่ไหนเหรอ,0
343,Am not interested to do like that.,ฉันไม่สนใจที่จะทําอย่างนั้น,0
344,My sister cleared two round in birla soft yesterday.,พี่สาวฉันเคลียร์สองรอบที่ ร.ร.ก. เมื่อวานนี้,0
345,Gudnite....tc...practice going on,ฝันดี...ดูแลตัวเองนะ...ฝึกต่อไป,0
346,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,นี่คือยี่จือนะ ฉันเพิ่งเห็นอีเมลของเธอ ในกรณีที่เธอไม่ได้ส่งเบอร์ของฉันให้เธอ นี่คือเบอร์ของฉันนะ,0
347,One small prestige problem now.,ปัญหาเรื่องเกียรติยศเล็กๆตอนนี้,0
349,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,แค่เช็คอินเธอ คิดถึงเจอเจเรไมอาห์จริงๆนะ ขอให้มีเดือนที่ดีนะ,0
350,"Nah can't help you there, I've never had an iphone",ไม่อ่ะ ช่วยไม่ได้อ่ะ ฉันไม่เคยมีไอโฟนเลย,0
351,If you're not in my car in an hour and a half I'm going apeshit,ถ้าเธอไม่อยู่ในรถฉันในอีกชั่วโมงครึ่ง ฉันจะปาขี้แล้วนะ,0
352,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",วันนี้คือวันขอโทษ หากฉันเคยโกรธเธอ หากฉันเคยประพฤติผิดหรือทําร้ายเธอ ได้โปรดช่วยตบตัวเองเพราะมันเป็นความผิดของเธอ ฉันคือดี,0
353,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,นี่พวกเธอเคยคิดไหมว่าพวกเราต้องการแอลกอฮอลล์เท่าไหร่ เจกับฉันพยายามหาว่าพวกเราใช้เงินกับวัชพืชได้อย่างปลอดภัยเท่าไหร่,0
354,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,& lt; # & gt; นาที ISH เมื่อ 5 นาทีก่อน บ้าอะไรเนี่ย,0
355,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer.","ขอขอบคุณสําหรับ Tata ที่จะบอกว่ามีความสุขและมีความสุขกับคุณฉันสบายดีที่นี่และจําคุณเมื่อฉันได้พบกับประกัน -- คุณในกาตาร์ ความต้องการของ Apertus อดีต Tata Scharnel ที่เข้าร่วม Tata, Scharen",0
358,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday.",ฉันเป็นนักแสดง เมื่อฉันทํางาน ฉันทํางานตอนเย็นและนอนดึก เนื่องจากฉันว่างงานในขณะนั้น ฉันนอนดึกเสมอ เวลาเธอว่างงาน ทุกวันคือวันเสาร์,0
359,"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted",สวัสดี เพิ่งมาถึงที่นี่ เซนท์มันไกลนะ มันหนาวอ่ะ ฉันจะให้เธอโพสต์นะ,0
360,Ha ha cool cool chikku chikku:-):-DB-),(หัวเราะ) เจ๋งไปเลยชิกกู:-):-,0
361,Oh ok no prob..,โอ้ โอเค ไม่มีปัญหา...,0
362,Check audrey's status right now,ตรวจสอบสถานะของออเดรย์ตอนนี้,0
363,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,ยุ่งอยู่ละ พยายามจะจบปีใหม่ละ ฉันตั้งตารอที่จะได้เจอเธอ...,0
364,"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always",สวัสดีตอนบ่ายซันไชน์ เช้าวันนั้นเป็นยังไงบ้าง พวกเราสดชื่นและมีความสุขที่จะมีชีวิตอยู่ไหม พวกเราหายใจในอากาศและยิ้มไหม ฉันคิดถึงเธอ ที่รัก...เหมือนเคย,0
365,Well i know Z will take care of me. So no worries.,อืม ฉันรู้ว่าซีจะดูแลฉัน ดังนั้นไม่ต้องห่วง,0
368,Wat uniform? In where get?,เครื่องแบบอะไรเหรอ ไปเอาที่ไหนเหรอ,0
369,"Cool, text me when you're ready",เจ๋ง ส่งข้อความหาฉันเมื่อเธอพร้อมนะ,0
370,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...",สวัสดีบอยทอยของฉัน...จี.ฉันคิดถึงเธอแล้วและฉันเพิ่งตื่น ฉันหวังว่าเธอจะอยู่ที่นี่บนเตียงกับฉัน กอดฉัน ฉันรักเธอ....,0
371,I will spoil you in bed as well :),ฉันจะสปอยล์คุณบนเตียงเช่นกัน :),0
372,I'm going for bath will msg you next  &lt;#&gt;  min..,ฉันจะไปอาบน้ําจะส่งข้อความหาเธอต่อและแอลที ; # & gt; นาที...,0
373,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,ฉันไม่สามารถพูดคุยกับผู้คนได้หากฉันไม่แน่ใจว่าฉันสามารถจ่ายพวกเขาหากพวกเขาตกลงกับราคา ดังนั้นโปรดบอกฉันสิ่งที่คุณต้องการซื้อจริง ๆ และเท่าไหร่คุณยินดีที่จะจ่าย,0
375,Can you say what happen,คุณบอกได้ไหมว่าเกิดอะไรขึ้น,0
376,You could have seen me..i did't recognise you Face.:),คุณอาจเห็นฉัน .. ฉันจําหน้าคุณไม่ได้ :),0
377,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going,อืม มีหลายสิ่งหลายอย่างเกิดขึ้นในลินด์ซี่ย์ในช่วงปีใหม่ *ถอนหายใจ * บางบาร์ในซาลาน่าและบลูบาร์มีบางสิ่งเกิดขึ้น,0
378,Keep my payasam there if rinu brings,ฝากข้อความของฉันไว้ที่นั่นนะหากเธอพามา,0
379,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,ฉันสอนว่าครูคนนั้นโทรหาฉัน ดังนั้นฉันเท่านั้นที่ส่งข้อความแบบนั้น เขายืนยันเกี่ยวกับโปรเจ็กต์ เขาบอกวันนี้ดังนั้นพ่ออย่าเข้าใจฉันผิดนะ...,0
380,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.",ฉันเดาว่านั่นคือเหตุผลว่าทําไมเธอถึงกังวล เธอต้องรู้ว่ามีวิธีซ่อมแซมร่างกาย และฉันค่อนข้างมั่นใจว่าเธอไม่ควรกังวล พวกเราจะทํามันช้านะ อย่างแรก การทดสอบ พวกเขาจะแนะนําการตกไข่ของเธอคือเมื่อไหร่ งั้นแค่ผ่อนคลาย ไม่มีอะไรที่เธอบอกว่าเป็นเหตุผลที่ต้องกังวลแต่ฉันจะติดตามเธอต่อไปนะ,0
381,"Yeah sure, give me a couple minutes to track down my wallet",ได้แน่นอน ขอเวลาสักสองสามนาทีเพื่อติดตามกระเป๋าเงินของฉัน,0
382,Hey leave it. not a big deal:-) take care.,เฮ้ ปล่อยมันไป ไม่ใช่เรื่องใหญ่ :-) ดูแลตัวเองนะ,0
383,Hey i will be late ah... Meet you at 945+,เฮ้ ฉันจะไปสายนะ...เจอเธอตอน 945+,0
385,It took Mr owl 3 licks,มันใช้เวลาเลียนายนกฮูก 3,0
386,Customer place i will call you.,ศูนย์ลูกค้า ฉันจะโทรหาคุณ,0
387,Mm that time you dont like fun,อืม เวลานั้นเธอไม่ชอบความสนุกอ่ะ,0
389,Yup having my lunch buffet now.. U eat already?,ใช่ ตอนนี้มีบุฟเฟ่ต์อาหารกลางวันของฉัน..เธอกินแล้วเหรอ,0
